FACT_71    1967-07-06 1967-08-06 37  67,43   1967-08-06 
FACT_72    1988-02-24 1988-03-26 5   15,74   1988-03-26 
FACT_73    1988-03-27 1988-04-27 5   26,04   1988-04-27 
FACT_74    1988-04-28 1988-05-29 5   48,07   1988-05-29 
FACT_75    2002-05-21 2002-06-21 51  16,25   2002-06-21 
FACT_76    2002-06-22 2002-07-23 51  64,04   2002-07-23 
FACT_77    2002-07-24 2002-08-24 51  33,47   2002-08-24 
FACT_78    2002-08-25 2002-09-25 51  21,25   2002-09-25 
FACT_79    2002-09-26 2002-10-27 51  15,53   2002-10-27 
FACT_80    2002-10-28 2002-11-28 51  40,92   2002-11-28 
FACT_81    2002-11-29 2002-12-30 51  55,16   2002-12-30 
FACT_82    2002-12-31 2003-01-31 51  56,63   2003-01-31 
FACT_83    1976-04-07 1976-05-08 50  55,32   1976-05-08 
FACT_84    1976-05-09 1976-06-09 50  28,47   1976-06-09 
FACT_85    1976-06-10 1976-07-11 50  40,31   1976-07-11 
FACT_86    1976-07-12 1976-08-12 50  47,67   1976-08-12 
FACT_87    1976-08-13 1976-09-13 50  46,47   1976-09-13 
FACT_88    1990-07-24 1990-08-24 8   31,79   1990-08-24 
FACT_89    1990-08-25 1990-09-25 8   17,08   1990-09-25 
FACT_90    1990-09-26 1990-10-27 8   69,67   1990-10-27 
FACT_91    1990-10-28 1990-11-28 8   28,49   1990-11-28 
FACT_92    1990-11-29 1990-12-30 8   61,3    1990-12-30 
FACT_93    1964-09-23 1964-10-24 23  25,43   1964-10-24 
FACT_94    1964-10-25 1964-11-25 23  18,47   1964-11-25 
FACT_95    1989-06-16 1989-07-17 3   69,88   1989-07-17 
FACT_96    1989-07-18 1989-08-18 3   47,81   1989-08-18 
FACT_97    1989-08-19 1989-09-19 3   15,96   1989-09-19 
FACT_98    1992-10-09 1992-11-09 11  21,56   1992-11-09 
FACT_99    1992-11-10 1992-12-11 11  42,09   1992-12-11 
FACT_100   1992-12-12 1993-01-12 11  15,94   1993-01-12 
FACT_101   1993-01-13 1993-02-13 11  28,26   1993-02-13 
FACT_102   1993-02-14 1993-03-17 11  28,0    1993-03-17 
FACT_103   1993-03-18 1993-04-18 11  48,63   1993-04-18 
FACT_104   1985-04-10 1985-05-11 9   46,98   1985-05-11 
FACT_105   1985-05-12 1985-06-12 9   13,92   1985-06-12 
FACT_106   1985-06-13 1985-07-14 9   60,16   1985-07-14 
FACT_107   1985-07-15 1985-08-15 9   32,22   1985-08-15 
FACT_108   1985-08-16 1985-09-16 9   60,15   1985-09-16 
FACT_109   1985-09-17 1985-10-18 9   37,83   1985-10-18 
FACT_110   1985-10-19 1985-11-19 9   14,55   1985-11-19 
FACT_111   1951-03-16 1951-04-16 10  63,05   1951-04-16 
FACT_112   1951-04-17 1951-05-18 10  68,34   1951-05-18 
FACT_113   1951-05-19 1951-06-19 10  29,26   1951-06-19 
FACT_114   1951-06-20 1951-07-21 10  55,91   1951-07-21 
FACT_115   1951-07-22 1951-08-22 10  54,62   1951-08-22 
FACT_116   1996-05-21 1996-06-21 75  26,64   1996-06-21 
FACT_117   1996-06-22 1996-07-23 75  18,48   1996-07-23 
FACT_118   1996-07-24 1996-08-24 75  58,69   1996-08-24 
FACT_119   1996-08-25 1996-09-25 75  50,53   1996-09-25 
FACT_120   1996-09-26 1996-10-27 75  49,82   1996-10-27 
FACT_121   1996-10-28 1996-11-28 75  44,46   1996-11-28 
FACT_122   1973-01-15 1973-02-15 75  50,67   1973-02-15 
FACT_123   1973-02-16 1973-03-19 75  25,97   1973-03-19 
FACT_124   1979-12-18 1980-01-18 71  12,08   1980-01-18 
FACT_125   1980-01-19 1980-02-19 71  36,78   1980-02-19 
FACT_126   1980-02-20 1980-03-22 71  67,44   1980-03-22 
FACT_127   1980-03-23 1980-04-23 71  63,23   1980-04-23 
FACT_128   1980-04-24 1980-05-25 71  38,78   1980-05-25 
FACT_129   1980-05-26 1980-06-26 71  44,49   1980-06-26 
FACT_130   1980-06-27 1980-07-28 71  30,75   1980-07-28 
FACT_131   2017-10-07 2017-11-07 8   63,34   2017-11-07 
FACT_132   2017-11-08 2017-12-09 8   37,61   2017-12-09 
FACT_133   1994-04-24 1994-05-25 90  58,76   1994-05-25 
FACT_134   1994-05-26 1994-06-26 90  41,85   1994-06-26 
FACT_135   1994-06-27 1994-07-28 90  61,13   1994-07-28 
FACT_136   1987-09-25 1987-10-26 48  14,93   1987-10-26 
FACT_137   1987-10-27 1987-11-27 48  10,55   1987-11-27 
FACT_138   2014-10-22 2014-11-22 76  37,36   2014-11-22 
FACT_139   2014-11-23 2014-12-24 76  44,98   2014-12-24 
FACT_140   1991-07-28 1991-08-28 34  41,05   1991-08-28 
FACT_141   1991-08-29 1991-09-29 34  58,85   1991-09-29 
FACT_142   1991-09-30 1991-10-31 34  64,59   1991-10-31 
FACT_143   1991-11-01 1991-12-02 34  55,58   1991-12-02 
FACT_144   1991-12-03 1992-01-03 34  50,88   1992-01-03 
FACT_145   1992-01-04 1992-02-04 34  51,03   1992-02-04 
